Open time,Open price,High price,Low price,Close price,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1648296000000,12.73100000,12.82340000,12.66190000,12.69850000,307959.13000000,1648297799999,3917645.90934800,5256,143144.25000000,1821298.58492100
1648297800000,12.69470000,12.90000000,12.60440000,12.83630000,784318.05000000,1648299599999,10025553.20115900,9914,431849.40000000,5518729.44894500
1648299600000,12.83160000,12.95000000,12.80000000,12.80780000,310151.00000000,1648301399999,3984540.97114200,5230,116036.68000000,1492515.53186800
1648301400000,12.80770000,12.94840000,12.80000000,12.93300000,230610.56000000,1648303199999,2967556.40826800,4007,119785.90000000,1541701.77896800
1648303200000,12.93790000,13.44690000,12.90610000,13.43420000,1502659.23000000,1648304999999,19876150.20363500,22700,736406.00000000,9741705.95673100
1648305000000,13.43430000,13.66000000,13.32250000,13.63120000,1944609.35000000,1648306799999,26234238.14084800,26389,1083213.53000000,14616738.58557500
1648306800000,13.63120000,13.77380000,13.38150000,13.46040000,1831493.42000000,1648308599999,24871961.79318100,24546,990598.80000000,13455306.73089500
1648308600000,13.45910000,13.64940000,13.42980000,13.54020000,742190.13000000,1648310399999,10055503.42362300,11135,370312.27000000,5015716.90684700
1648310400000,13.54510000,13.84010000,13.45010000,13.71970000,1398679.30000000,1648312199999,19140199.44601900,19129,828000.92000000,11336110.11911100
1648312200000,13.72120000,14.15000000,13.68020000,14.06320000,1875885.35000000,1648313999999,26180808.46405700,33431,1029391.70000000,14368163.48584500
1648314000000,14.06050000,14.24990000,13.94150000,14.14830000,1343371.60000000,1648315799999,18976443.53469400,28077,659681.41000000,9321375.50733900
1648315800000,14.14660000,14.19080000,13.89740000,13.96800000,987339.43000000,1648317599999,13817775.46120200,17769,445628.57000000,6234837.41784100
1648317600000,13.97370000,14.06620000,13.69040000,13.80120000,937093.33000000,1648319399999,12987145.70759500,17058,403550.95000000,5594726.60426100
1648319400000,13.80220000,14.04750000,13.76630000,14.02040000,558997.96000000,1648321199999,7765345.76870600,9230,306095.87000000,4253159.96940000
1648321200000,14.02020000,14.03770000,13.84210000,13.86390000,365733.22000000,1648322999999,5097120.73326700,7031,174490.10000000,2432001.79229900
1648323000000,13.86770000,13.98000000,13.81120000,13.89150000,291675.37000000,1648324799999,4055924.14047400,5920,139571.94000000,1940887.04070600
1648324800000,13.89070000,13.99800000,13.76110000,13.80300000,488667.12000000,1648326599999,6791076.92869500,7733,226913.23000000,3153058.94649400
1648326600000,13.80300000,13.86860000,13.70610000,13.82130000,368965.81000000,1648328399999,5086740.11241600,7773,183800.96000000,2535109.56602900
1648328400000,13.81710000,13.84900000,13.63520000,13.64820000,256687.83000000,1648330199999,3525199.41268800,7349,110171.90000000,1513179.15884900
1648330200000,13.64900000,13.74880000,13.57500000,13.62270000,317649.92000000,1648331999999,4336115.72335900,6391,148905.58000000,2032878.72236700
1648332000000,13.62290000,13.73520000,13.52010000,13.72480000,375279.74000000,1648333799999,5105167.21952500,7609,235766.40000000,3206517.49238900
1648333800000,13.72480000,13.76570000,13.60000000,13.61000000,227547.10000000,1648335599999,3114396.44245700,5235,104457.93000000,1430057.93205700
1648335600000,13.61000000,13.89960000,13.60000000,13.79250000,398195.44000000,1648337399999,5485958.40377800,7010,218792.51000000,3012826.18479500
