Open time,Open price,High price,Low price,Close price,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1658880000000,249.50000000,249.80000000,248.30000000,248.60000000,8564.03700000,1658881799999,2133291.81840000,4434,5113.37500000,1273700.60930000
1658881800000,248.60000000,249.50000000,247.50000000,249.40000000,9376.84200000,1658883599999,2329183.78370000,3770,5033.61800000,1250628.29970000
1658883600000,249.50000000,252.20000000,249.40000000,252.00000000,13357.27000000,1658885399999,3353520.55730000,7944,6257.66000000,1571305.20140000
1658885400000,252.10000000,252.20000000,250.60000000,250.70000000,9990.66100000,1658887199999,2512113.70250000,3800,4626.23300000,1163168.34320000
1658887200000,250.70000000,251.70000000,250.70000000,251.50000000,6176.90500000,1658888999999,1551782.03810000,3872,3359.26900000,843915.30800000
1658889000000,251.50000000,252.90000000,250.90000000,252.70000000,7863.08400000,1658890799999,1981623.83530000,3659,4204.65000000,1059515.18630000
1658890800000,252.70000000,253.00000000,251.90000000,252.30000000,7335.02200000,1658892599999,1851324.12260000,3669,3441.32200000,868566.72770000
1658892600000,252.30000000,252.40000000,251.10000000,251.40000000,4624.21900000,1658894399999,1163264.12630000,2599,1951.50300000,490892.17290000
1658894400000,251.40000000,252.80000000,251.30000000,252.70000000,5378.50200000,1658896199999,1356288.09510000,2622,2974.49900000,749969.29540000
1658896200000,252.80000000,252.90000000,251.80000000,252.30000000,6458.87700000,1658897999999,1629762.14330000,2975,2673.40500000,674667.03060000
1658898000000,252.30000000,253.70000000,252.10000000,253.30000000,8656.77100000,1658899799999,2191547.18280000,4244,5203.72300000,1317323.46120000
1658899800000,253.30000000,255.00000000,253.20000000,254.20000000,11845.15200000,1658901599999,3010579.17280000,4722,7000.33100000,1779159.55970000
1658901600000,254.30000000,254.40000000,253.20000000,253.30000000,5192.44200000,1658903399999,1317515.88840000,3060,2132.71200000,541322.38390000
1658903400000,253.30000000,253.70000000,252.50000000,253.60000000,4021.66400000,1658905199999,1017648.16040000,2612,2146.82800000,543364.61380000
1658905200000,253.60000000,254.90000000,253.40000000,254.10000000,10960.89800000,1658906999999,2787461.01570000,4648,6200.61900000,1576988.53650000
1658907000000,254.00000000,254.40000000,252.40000000,252.60000000,6843.26500000,1658908799999,1735503.58000000,3562,2976.82000000,755161.84980000
1658908800000,252.60000000,253.10000000,252.30000000,252.50000000,9134.55500000,1658910599999,2309297.16270000,4194,5186.27000000,1311483.86000000
1658910600000,252.50000000,252.70000000,251.80000000,252.00000000,5413.17700000,1658912399999,1364988.43990000,3091,2325.85400000,586601.06890000
1658912400000,252.10000000,252.70000000,251.60000000,252.50000000,8783.06400000,1658914199999,2213968.96740000,4262,4460.01500000,1124434.36080000
1658914200000,252.50000000,252.60000000,252.10000000,252.40000000,4255.71400000,1658915999999,1073822.20360000,2892,1961.77600000,495061.41630000
1658916000000,252.40000000,253.30000000,252.00000000,253.20000000,4415.53600000,1658917799999,1115649.45770000,2804,2305.44500000,582573.56320000
1658917800000,253.10000000,253.50000000,252.30000000,252.50000000,5083.23100000,1658919599999,1285449.60720000,3085,2271.76700000,574635.36930000
1658919600000,252.60000000,253.00000000,252.30000000,252.90000000,2430.23200000,1658921399999,614113.20210000,2239,1284.74800000,324716.30420000
1658921400000,252.90000000,254.10000000,251.30000000,252.60000000,12258.91200000,1658923199999,3097770.39880000,5296,6994.76400000,1767351.06320000
1658923200000,252.50000000,254.90000000,251.90000000,254.60000000,11217.26000000,1658924999999,2848200.07920000,6342,6417.50700000,1629700.26050000
1658925000000,254.60000000,257.00000000,254.30000000,256.60000000,20434.00900000,1658926799999,5231299.95360000,8188,11445.31000000,2928965.02850000
1658926800000,256.60000000,256.90000000,255.10000000,255.40000000,7527.94700000,1658928599999,1927870.18870000,4302,3251.96500000,833022.10010000
1658928600000,255.40000000,259.90000000,255.30000000,259.10000000,26434.57600000,1658930399999,6816704.01000000,10420,16035.56400000,4133975.35210000
1658930400000,259.10000000,259.20000000,256.90000000,257.70000000,13240.02200000,1658932199999,3417885.34360000,5931,5695.01900000,1470032.72430000
1658932200000,257.70000000,258.10000000,256.90000000,257.70000000,5970.19900000,1658933999999,1536769.59970000,3427,3182.08700000,819086.34650000
1658934000000,257.60000000,258.20000000,256.70000000,257.00000000,7490.15800000,1658935799999,1927259.39020000,3792,3184.04300000,819490.38590000
1658935800000,257.00000000,259.50000000,256.80000000,258.60000000,15045.07200000,1658937599999,3890166.33360000,6571,8129.13100000,2101655.59260000
1658937600000,258.60000000,259.80000000,257.80000000,259.40000000,11891.08800000,1658939399999,3078902.86740000,6180,6465.53900000,1674100.80220000
1658939400000,259.30000000,259.60000000,254.70000000,255.30000000,18954.13200000,1658941199999,4865433.32200000,7943,9459.67700000,2427743.68090000
1658941200000,255.30000000,257.80000000,254.80000000,257.70000000,11232.54500000,1658942999999,2878142.44420000,6196,5743.25400000,1471882.48270000
1658943000000,257.80000000,258.20000000,257.00000000,257.70000000,13999.41500000,1658944799999,3608207.21030000,6342,7774.18500000,2003862.40660000
1658944800000,257.60000000,265.20000000,257.50000000,264.00000000,87334.48300000,1658946599999,22930652.71350000,34989,46281.96300000,12147923.07800000
1658946600000,264.00000000,268.50000000,262.40000000,266.90000000,70529.52800000,1658948399999,18767256.49640000,27793,34191.22200000,9101310.51090000
1658948400000,266.90000000,269.30000000,266.90000000,268.20000000,30419.72800000,1658950199999,8149151.69500000,14740,15234.46500000,4081133.61070000
1658950200000,268.10000000,268.70000000,266.70000000,268.40000000,24432.01500000,1658951999999,6540061.05330000,10255,11395.11200000,3050356.24500000
1658952000000,268.40000000,269.50000000,267.90000000,269.00000000,19941.91000000,1658953799999,5358957.32070000,8195,11122.15200000,2988994.48500000
1658953800000,269.00000000,269.40000000,268.10000000,268.20000000,9653.94700000,1658955599999,2594348.50330000,5296,4722.62700000,1269221.84670000
1658955600000,268.20000000,268.50000000,267.80000000,268.00000000,6924.00200000,1658957399999,1856738.14600000,4271,3462.24900000,928517.50480000
1658957400000,268.10000000,269.50000000,267.20000000,269.10000000,10631.03600000,1658959199999,2854691.46220000,5901,4664.22000000,1253071.90190000
1658959200000,269.10000000,270.40000000,268.80000000,270.00000000,18682.76100000,1658960999999,5041128.97410000,7718,9829.91300000,2652373.66820000
1658961000000,270.10000000,270.30000000,269.00000000,269.20000000,13379.98500000,1658962799999,3606550.98240000,5468,5984.17900000,1613480.70910000
1658962800000,269.20000000,269.80000000,268.40000000,269.00000000,9184.62200000,1658964599999,2471223.66960000,4013,3692.69300000,993501.09930000
1658964600000,269.10000000,272.00000000,268.60000000,271.60000000,13803.22300000,1658966399999,3730377.90700000,6993,7617.21600000,2058893.56390000
1658966400000,271.60000000,272.00000000,269.50000000,269.60000000,12507.07100000,1658968199999,3386495.35560000,6434,6162.06700000,1668626.09270000
1658968200000,269.60000000,270.00000000,268.60000000,268.70000000,7323.76600000,1658969999999,1971236.43240000,4183,3505.12500000,943581.06470000
