Open time,Open price,High price,Low price,Close price,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1622764800000,39246.78000000,39289.07000000,38675.66000000,38784.33000000,1925.79423200,1622766599999,74990335.52780467,41566,900.72052600,35076102.32683301
1622766600000,38784.33000000,38800.00000000,38575.90000000,38682.38000000,1111.09289100,1622768399999,43005366.46424089,25854,525.43149900,20338863.80157000
1622768400000,38687.05000000,38692.80000000,37588.00000000,37857.05000000,5505.86785900,1622770199999,209322190.53572733,109900,2400.51956800,91221502.95352941
1622770200000,37857.06000000,38020.20000000,37710.11000000,37900.00000000,1870.59671500,1622771999999,70828970.26460504,51444,953.82728900,36120117.79747652
1622772000000,37900.00000000,37900.00000000,37320.26000000,37574.05000000,2923.27904300,1622773799999,109914848.18523158,88107,1406.37176400,52895651.11314007
1622773800000,37571.05000000,37833.23000000,37550.00000000,37775.12000000,1374.78531200,1622775599999,51872376.66801974,64915,763.77520400,28820714.87883160
1622775600000,37775.12000000,37985.97000000,37571.45000000,37920.19000000,1200.11659100,1622777399999,45286167.71974697,28165,546.25534500,20620371.36445973
1622777400000,37920.19000000,38133.23000000,37818.62000000,37933.72000000,1236.43152200,1622779199999,46947540.74732075,26656,605.33927200,22985458.61092538
1622779200000,37933.73000000,37939.25000000,37400.00000000,37667.11000000,2346.67348100,1622780999999,88325910.96682707,44788,848.48197300,31954050.58129408
1622781000000,37667.15000000,37768.81000000,37526.10000000,37556.76000000,885.19961100,1622782799999,33342994.80588933,22546,471.86336200,17777600.68310484
1622782800000,37556.76000000,37679.94000000,36720.00000000,37105.18000000,5193.54430400,1622784599999,193069889.69902802,103006,2238.12722200,83171569.88223730
1622784600000,37105.19000000,37147.05000000,36500.00000000,36716.55000000,5647.90811400,1622786399999,207364868.52869770,103599,2471.79690100,90790507.80711271
1622786400000,36718.38000000,37039.00000000,36652.71000000,36845.53000000,1841.20113100,1622788199999,67944661.06203015,37954,934.69048900,34496179.27238036
1622788200000,36845.60000000,36960.00000000,36529.83000000,36782.54000000,1956.12344500,1622789999999,71880704.13608838,47617,974.32199200,35812456.60859922
1622790000000,36782.54000000,36792.80000000,36218.21000000,36593.98000000,3088.91960700,1622791799999,112649707.13066567,68504,1519.58372000,55439693.55017234
1622791800000,36593.99000000,36852.00000000,36496.02000000,36610.29000000,2430.00467900,1622793599999,89114784.64800310,40328,1121.11506800,41113188.75925576
1622793600000,36606.80000000,36782.99000000,36072.82000000,36728.51000000,2611.72533100,1622795399999,95341381.77055789,48925,1362.48532800,49762095.01764812
1622795400000,36728.52000000,36827.60000000,36570.20000000,36704.97000000,1243.75968700,1622797199999,45669920.91525941,31424,589.38118800,21641786.36489005
1622797200000,36704.96000000,36759.18000000,36350.00000000,36636.01000000,1332.99407600,1622798999999,48738963.69742325,32556,625.05323600,22854847.34097157
1622799000000,36636.01000000,36861.60000000,36543.98000000,36854.99000000,1387.25653300,1622800799999,51013516.86181932,27901,679.77467700,25000391.66184249
1622800800000,36854.99000000,37028.65000000,36661.03000000,36710.00000000,2157.38944600,1622802599999,79564308.20859536,35427,818.52884200,30194819.25495685
1622802600000,36712.73000000,36781.88000000,36537.53000000,36630.30000000,1175.22180100,1622804399999,43105784.02731671,25495,516.09467300,18935810.65598305
1622804400000,36630.31000000,36848.64000000,36500.00000000,36667.20000000,1377.25047500,1622806199999,50525840.54031830,28850,779.77333100,28612647.59841720
1622806200000,36667.20000000,36667.20000000,36361.00000000,36585.66000000,1877.27808400,1622807999999,68534084.97071301,34185,985.08913400,35962861.82524370
1622808000000,36585.67000000,36585.67000000,35555.15000000,35794.30000000,4786.44265500,1622809799999,171850210.06520898,96338,1989.06778900,71390358.58030764
1622809800000,35794.30000000,37139.00000000,35772.34000000,36878.96000000,5335.27301200,1622811599999,195199696.11770354,87283,2793.74799500,102185321.23559599
1622811600000,36879.64000000,36988.22000000,36643.14000000,36801.09000000,1918.23251800,1622813399999,70553909.01748289,35905,1062.19527800,39062836.46320199
1622813400000,36803.61000000,36938.76000000,36606.35000000,36729.31000000,1332.99685100,1622815199999,49034966.55572355,29588,650.82419400,23942069.52075111
1622815200000,36729.32000000,36790.00000000,36150.00000000,36390.74000000,2048.37321700,1622816999999,74602032.82747665,42449,913.36080600,33261425.85024552
