Open time,Open price,High price,Low price,Close price,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1662969600000,0.20660000,0.20670000,0.20550000,0.20630000,4716537.00000000,1662971399999,972342.05230000,1695,2578328.00000000,531668.14200000
1662971400000,0.20640000,0.20790000,0.20610000,0.20760000,3140149.00000000,1662973199999,650729.25970000,1561,1502963.00000000,311473.01350000
1662973200000,0.20760000,0.20890000,0.20630000,0.20630000,4988245.00000000,1662974999999,1037053.85800000,1869,2612690.00000000,543574.76850000
1662975000000,0.20630000,0.20670000,0.20520000,0.20640000,4516799.00000000,1662976799999,930535.86020000,1908,1753735.00000000,361321.61970000
1662976800000,0.20640000,0.20650000,0.20440000,0.20510000,4236368.00000000,1662978599999,869822.48360000,1725,1835007.00000000,376766.05400000
1662978600000,0.20520000,0.20740000,0.20520000,0.20670000,3518295.00000000,1662980399999,726524.37930000,1287,1861321.00000000,384324.23650000
1662980400000,0.20670000,0.20790000,0.20560000,0.20750000,4890190.00000000,1662982199999,1011365.08650000,1678,3194906.00000000,660904.02400000
1662982200000,0.20750000,0.20790000,0.20560000,0.20590000,6248427.00000000,1662983999999,1290987.87830000,2147,2501000.00000000,516891.56910000
1662984000000,0.20590000,0.20660000,0.20510000,0.20580000,7854368.00000000,1662985799999,1616898.05370000,2449,4642535.00000000,955941.04770000
1662985800000,0.20570000,0.20630000,0.20430000,0.20550000,10644169.00000000,1662987599999,2185333.18660000,2297,4099065.00000000,841358.35310000
1662987600000,0.20540000,0.20660000,0.20520000,0.20530000,4272601.00000000,1662989399999,880030.22620000,1295,2424044.00000000,499209.30580000
1662989400000,0.20530000,0.20620000,0.20430000,0.20590000,4452555.00000000,1662991199999,914554.27580000,1606,2415900.00000000,496172.88800000
1662991200000,0.20580000,0.20700000,0.20530000,0.20580000,4764791.00000000,1662992999999,982575.81210000,1513,2602896.00000000,536955.21390000
1662993000000,0.20590000,0.20590000,0.20350000,0.20520000,4419431.00000000,1662994799999,905877.07740000,1973,2018779.00000000,414036.57350000
1662994800000,0.20520000,0.20520000,0.20350000,0.20420000,3995746.00000000,1662996599999,815489.73520000,1491,1962465.00000000,400369.54200000
1662996600000,0.20420000,0.20440000,0.19920000,0.20020000,14235687.00000000,1662998399999,2862726.25240000,5141,5433551.00000000,1092965.79770000
1662998400000,0.20010000,0.20060000,0.19540000,0.19830000,17082674.00000000,1663000199999,3372289.13920000,6730,7631429.00000000,1506839.23680000
1663000200000,0.19840000,0.19970000,0.19820000,0.19930000,3577139.00000000,1663001999999,712310.35470000,1511,1983686.00000000,394981.65860000
1663002000000,0.19940000,0.19980000,0.19860000,0.19970000,2018411.00000000,1663003799999,402402.63110000,1000,1213535.00000000,241955.82120000
1663003800000,0.19970000,0.20140000,0.19950000,0.20140000,2753453.00000000,1663005599999,551597.42910000,1107,1671215.00000000,334816.47430000
1663005600000,0.20130000,0.20140000,0.19930000,0.19930000,2716785.00000000,1663007399999,543721.01000000,1075,1154225.00000000,231032.53800000
1663007400000,0.19940000,0.20080000,0.19890000,0.20040000,2208264.00000000,1663009199999,441486.64200000,850,1260196.00000000,251962.14880000
1663009200000,0.20050000,0.20110000,0.20020000,0.20050000,2209463.00000000,1663010999999,443165.80570000,868,1060388.00000000,212733.15030000
1663011000000,0.20040000,0.20150000,0.20030000,0.20140000,1808573.00000000,1663012799999,363233.27120000,605,1222149.00000000,245405.22960000
1663012800000,0.20140000,0.20240000,0.20100000,0.20160000,2280264.00000000,1663014599999,459702.32940000,836,1224410.00000000,246896.23340000
1663014600000,0.20170000,0.20310000,0.20170000,0.20270000,1671561.00000000,1663016399999,338758.28410000,747,899690.00000000,182330.80120000
1663016400000,0.20270000,0.20270000,0.20090000,0.20100000,1314652.00000000,1663018199999,264911.77610000,580,364381.00000000,73428.27240000
1663018200000,0.20100000,0.20230000,0.20080000,0.20100000,826447.00000000,1663019999999,166614.04280000,346,419447.00000000,84500.41380000
1663020000000,0.20100000,0.20160000,0.20060000,0.20080000,1396829.00000000,1663021799999,280793.40940000,467,403238.00000000,81088.47480000
1663021800000,0.20070000,0.20280000,0.20040000,0.20130000,2002134.00000000,1663023599999,404141.76970000,801,1065003.00000000,215026.40990000
1663023600000,0.20140000,0.20220000,0.20060000,0.20140000,1354300.00000000,1663025399999,272968.53330000,503,578351.00000000,116575.22510000
1663025400000,0.20140000,0.20190000,0.20020000,0.20150000,1765231.00000000,1663027199999,354826.25580000,572,1099452.00000000,221046.71150000
1663027200000,0.20150000,0.20400000,0.19800000,0.20320000,11062814.00000000,1663028999999,2225276.36340000,3989,4668249.00000000,938856.06940000
1663029000000,0.20310000,0.21060000,0.20000000,0.20420000,49925198.00000000,1663030799999,10249888.05680000,18901,25670800.00000000,5269407.93280000
1663030800000,0.20410000,0.20420000,0.19940000,0.20170000,14133943.00000000,1663032599999,2843135.17820000,5529,6329737.00000000,1272697.05710000
1663032600000,0.20170000,0.20170000,0.19840000,0.20010000,6234830.00000000,1663034399999,1244859.42890000,2760,2834455.00000000,565850.75620000
1663034400000,0.20010000,0.20210000,0.19950000,0.20150000,5473299.00000000,1663036199999,1098139.40550000,2277,2751961.00000000,552065.13910000
1663036200000,0.20140000,0.20350000,0.20120000,0.20330000,4380204.00000000,1663037999999,887102.52770000,1806,2558269.00000000,518142.58940000
1663038000000,0.20320000,0.20330000,0.20080000,0.20090000,3640411.00000000,1663039799999,734662.11770000,1495,1190510.00000000,240663.26140000
1663039800000,0.20090000,0.20340000,0.20070000,0.20260000,2295649.00000000,1663041599999,464005.23190000,1048,1394604.00000000,281852.89460000
1663041600000,0.20270000,0.20310000,0.20140000,0.20220000,2519570.00000000,1663043399999,509748.25380000,1077,1257834.00000000,254447.05830000
1663043400000,0.20220000,0.20250000,0.20090000,0.20140000,2803830.00000000,1663045199999,565658.38650000,1085,867352.00000000,174893.45110000
1663045200000,0.20140000,0.20230000,0.20100000,0.20200000,2304624.00000000,1663046999999,465010.34850000,729,1464725.00000000,295637.32980000
1663047000000,0.20200000,0.20290000,0.20170000,0.20250000,4402119.00000000,1663048799999,891272.09160000,1808,2236522.00000000,452840.75580000
1663048800000,0.20250000,0.20290000,0.20160000,0.20260000,1571050.00000000,1663050599999,318126.63410000,697,599118.00000000,121325.60410000
1663050600000,0.20260000,0.20420000,0.20130000,0.20250000,7239357.00000000,1663052399999,1467778.55150000,3382,4436467.00000000,899891.28450000
1663052400000,0.20250000,0.20350000,0.20200000,0.20310000,2548376.00000000,1663054199999,516481.45880000,1012,1410312.00000000,285893.28400000
1663054200000,0.20300000,0.20520000,0.20280000,0.20280000,6261661.00000000,1663055999999,1276159.96100000,2194,1949853.00000000,397630.74340000
1663056000000,0.20280000,0.20360000,0.20210000,0.20230000,3168599.00000000,1663057799999,642451.88240000,1370,1344680.00000000,272655.72070000
1663057800000,0.20230000,0.20470000,0.20080000,0.20360000,20453098.00000000,1663059599999,4147448.78080000,5616,11706202.00000000,2372904.99540000
1663059600000,0.20360000,0.20370000,0.20250000,0.20310000,2477467.00000000,1663061399999,502872.59060000,1016,997824.00000000,202604.08900000
1663061400000,0.20300000,0.20310000,0.20160000,0.20180000,3862029.00000000,1663063199999,781209.69220000,1279,1744404.00000000,352872.34650000
1663063200000,0.20190000,0.20240000,0.20160000,0.20180000,2538582.00000000,1663064999999,512694.00020000,908,1201703.00000000,242736.15650000
1663065000000,0.20180000,0.20300000,0.20150000,0.20270000,2370238.00000000,1663066799999,479919.37410000,961,1210107.00000000,244982.92860000
1663066800000,0.20270000,0.20330000,0.20210000,0.20290000,2377457.00000000,1663068599999,481849.25270000,907,904959.00000000,183497.87020000
1663068600000,0.20280000,0.20300000,0.20110000,0.20190000,3702503.00000000,1663070399999,748060.19840000,1421,1344079.00000000,271406.17570000
1663070400000,0.20190000,0.20320000,0.20140000,0.20250000,4983892.00000000,1663072199999,1007601.68920000,1739,2415805.00000000,488488.13780000
1663072200000,0.20250000,0.20290000,0.18950000,0.19260000,63571180.00000000,1663073999999,12303791.53770000,23469,29778319.00000000,5760937.24590000
1663074000000,0.19260000,0.19650000,0.19170000,0.19370000,17064532.00000000,1663075799999,3307194.12040000,7694,7842797.00000000,1520014.48520000
1663075800000,0.19370000,0.19860000,0.19330000,0.19710000,18589017.00000000,1663077599999,3650355.64750000,7121,8896360.00000000,1748121.67640000
1663077600000,0.19710000,0.21080000,0.19560000,0.20310000,51306230.00000000,1663079399999,10415030.82640000,19050,24553089.00000000,4985704.53570000
1663079400000,0.20300000,0.20650000,0.20200000,0.20310000,28625790.00000000,1663081199999,5847073.19800000,11479,13825608.00000000,2824292.22960000
1663081200000,0.20300000,0.20530000,0.20050000,0.20480000,14589192.00000000,1663082999999,2959462.69880000,6001,6288883.00000000,1277423.74860000
1663083000000,0.20480000,0.20740000,0.20380000,0.20530000,12459172.00000000,1663084799999,2553745.90530000,4780,5427146.00000000,1113095.86480000
1663084800000,0.20530000,0.20770000,0.20420000,0.20430000,8038688.00000000,1663086599999,1653203.17360000,3545,3690464.00000000,759506.60620000
1663086600000,0.20430000,0.20630000,0.20350000,0.20500000,5660182.00000000,1663088399999,1161280.57020000,2337,2610116.00000000,535802.91790000
1663088400000,0.20490000,0.20510000,0.20320000,0.20460000,5425922.00000000,1663090199999,1107892.16160000,2048,2736372.00000000,558676.00190000
1663090200000,0.20460000,0.20480000,0.20260000,0.20270000,3557662.00000000,1663091999999,723877.04790000,1413,1322732.00000000,269261.21540000
1663092000000,0.20270000,0.20570000,0.20250000,0.20430000,7441678.00000000,1663093799999,1518763.86540000,2524,3660751.00000000,746985.99300000
1663093800000,0.20430000,0.20430000,0.20150000,0.20220000,5156684.00000000,1663095599999,1047133.17090000,2559,2078345.00000000,422046.23280000
1663095600000,0.20210000,0.20220000,0.19670000,0.19710000,16420219.00000000,1663097399999,3259917.38050000,6732,7071719.00000000,1403777.01550000
1663097400000,0.19710000,0.19950000,0.19580000,0.19900000,4233169.00000000,1663099199999,837243.34830000,2154,2126852.00000000,420933.24980000
1663099200000,0.19890000,0.19980000,0.19830000,0.19900000,1822187.00000000,1663100999999,362891.34560000,910,964380.00000000,192033.50080000
1663101000000,0.19900000,0.19920000,0.19690000,0.19750000,4673796.00000000,1663102799999,926507.54460000,2019,1586970.00000000,314685.30670000
1663102800000,0.19730000,0.19760000,0.19490000,0.19500000,6305551.00000000,1663104599999,1237374.77450000,2615,1918715.00000000,376838.38790000
1663104600000,0.19500000,0.19610000,0.19300000,0.19540000,6575501.00000000,1663106399999,1281004.81670000,2839,2855628.00000000,557404.29210000
1663106400000,0.19540000,0.19550000,0.19230000,0.19390000,4253307.00000000,1663108199999,823834.76840000,2010,1638470.00000000,317488.36520000
1663108200000,0.19380000,0.19510000,0.19360000,0.19400000,2850488.00000000,1663109999999,554122.47630000,1337,1522769.00000000,296008.85400000
1663110000000,0.19400000,0.19620000,0.19330000,0.19460000,5818001.00000000,1663111799999,1132326.28550000,2323,3024881.00000000,588758.13340000
1663111800000,0.19460000,0.19560000,0.19300000,0.19330000,4156817.00000000,1663113599999,807597.36900000,1892,1375201.00000000,267283.39180000
1663113600000,0.19320000,0.19770000,0.19240000,0.19640000,15568046.00000000,1663115399999,3043590.45190000,6158,7730119.00000000,1511824.74390000
1663115400000,0.19620000,0.19870000,0.19460000,0.19690000,13405522.00000000,1663117199999,2637381.77090000,5152,6891266.00000000,1356032.01670000
1663117200000,0.19680000,0.19840000,0.19520000,0.19540000,7887646.00000000,1663118999999,1552309.43750000,2612,3213762.00000000,632726.41040000
1663119000000,0.19530000,0.19680000,0.19410000,0.19590000,8037160.00000000,1663120799999,1571014.69900000,2385,4683736.00000000,915603.46260000
1663120800000,0.19600000,0.19630000,0.19480000,0.19530000,5378956.00000000,1663122599999,1052347.10460000,2031,2504918.00000000,490121.11220000
1663122600000,0.19530000,0.19670000,0.19520000,0.19650000,3712281.00000000,1663124399999,727637.10450000,1248,2251592.00000000,441296.75270000
1663124400000,0.19660000,0.19680000,0.19550000,0.19640000,4173959.00000000,1663126199999,819015.53320000,1324,1950090.00000000,382845.23050000
1663126200000,0.19640000,0.19710000,0.19580000,0.19640000,1942668.00000000,1663127999999,381517.43810000,671,976984.00000000,191874.09730000
1663128000000,0.19640000,0.19680000,0.19540000,0.19640000,4918522.00000000,1663129799999,964658.91350000,1217,2749856.00000000,539336.10640000
1663129800000,0.19640000,0.19940000,0.19600000,0.19890000,7936048.00000000,1663131599999,1572802.61770000,2965,4448757.00000000,881739.52350000
1663131600000,0.19880000,0.19890000,0.19720000,0.19730000,6802179.00000000,1663133399999,1346530.84140000,2314,3318887.00000000,657014.52810000
1663133400000,0.19720000,0.19780000,0.19640000,0.19660000,1356682.00000000,1663135199999,267406.98160000,582,494941.00000000,97559.74970000
1663135200000,0.19680000,0.19700000,0.19500000,0.19550000,8282072.00000000,1663136999999,1620162.30220000,2389,2800868.00000000,548112.91510000
1663137000000,0.19540000,0.19560000,0.19390000,0.19400000,2497702.00000000,1663138799999,486026.96510000,946,777698.00000000,151286.14710000
1663138800000,0.19400000,0.19460000,0.19290000,0.19320000,3305896.00000000,1663140599999,641336.01920000,1421,1472190.00000000,285678.17450000
1663140600000,0.19310000,0.19340000,0.18940000,0.19280000,14268688.00000000,1663142399999,2728425.83030000,4364,8009448.00000000,1531686.58250000
1663142400000,0.19290000,0.19330000,0.19060000,0.19110000,6191923.00000000,1663144199999,1187193.62320000,2595,2692691.00000000,516228.60860000
1663144200000,0.19130000,0.19440000,0.19130000,0.19320000,5439187.00000000,1663145999999,1051879.21440000,2514,2707465.00000000,523585.62650000
1663146000000,0.19310000,0.19390000,0.19240000,0.19390000,3481922.00000000,1663147799999,671891.82860000,1089,1582313.00000000,305406.50890000
1663147800000,0.19390000,0.19420000,0.19240000,0.19260000,4560703.00000000,1663149599999,879774.89180000,1118,1404175.00000000,270956.72920000
1663149600000,0.19280000,0.19330000,0.19250000,0.19290000,1834987.00000000,1663151399999,353949.27800000,746,1032419.00000000,199171.63630000
1663151400000,0.19290000,0.19360000,0.19260000,0.19300000,1774068.00000000,1663153199999,342722.33880000,698,916909.00000000,177125.93560000
1663153200000,0.19310000,0.19310000,0.19130000,0.19140000,1721827.00000000,1663154999999,330893.44030000,724,502794.00000000,96748.23880000
1663155000000,0.19130000,0.19200000,0.18910000,0.19010000,7684790.00000000,1663156799999,1464940.63320000,2280,2760834.00000000,526496.80700000
1663156800000,0.19020000,0.19030000,0.18790000,0.18990000,9841957.00000000,1663158599999,1859335.30760000,3030,5250656.00000000,991944.66870000
