Open time,Open price,High price,Low price,Close price,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1642176000000,3278.16000000,3282.68000000,3258.18000000,3273.61000000,6460.81240000,1642177799999,21121457.57170100,13288,2978.01550000,9736060.39162800
1642177800000,3273.61000000,3296.97000000,3269.00000000,3295.32000000,5850.56070000,1642179599999,19239700.75979600,12074,3468.66630000,11408653.91585300
1642179600000,3295.33000000,3308.57000000,3284.72000000,3290.72000000,7828.86880000,1642181399999,25795113.75247600,15211,4964.66590000,16360271.33588200
1642181400000,3290.72000000,3292.80000000,3274.40000000,3279.60000000,3498.88370000,1642183199999,11484918.22704100,8934,1675.59510000,5500018.25080600
1642183200000,3279.60000000,3290.00000000,3270.65000000,3279.99000000,4644.13190000,1642184999999,15228385.33123200,10145,1802.99400000,5913247.62991900
1642185000000,3279.99000000,3295.00000000,3273.23000000,3291.68000000,2495.25890000,1642186799999,8193813.42514600,7421,1364.89880000,4481557.48795400
1642186800000,3291.69000000,3309.99000000,3291.68000000,3298.83000000,4231.99420000,1642188599999,13970900.63715400,11079,2019.08110000,6665992.66949000
1642188600000,3298.83000000,3327.00000000,3297.40000000,3307.55000000,7295.88640000,1642190399999,24179358.68262000,15703,3725.28170000,12344588.71233900
1642190400000,3308.01000000,3317.79000000,3300.34000000,3302.04000000,6039.39460000,1642192199999,19974426.70573300,11100,2955.17870000,9773695.40182600
1642192200000,3302.04000000,3307.93000000,3297.86000000,3303.18000000,3945.35300000,1642193999999,13031448.95974000,9209,1755.94610000,5799838.93563000
1642194000000,3303.18000000,3314.44000000,3302.02000000,3308.00000000,3486.85340000,1642195799999,11536026.98950500,8109,1639.45390000,5423712.56884300
1642195800000,3308.00000000,3342.79000000,3306.72000000,3331.04000000,5115.14810000,1642197599999,17008470.52082500,14155,2613.82720000,8691232.05334500
1642197600000,3331.04000000,3332.69000000,3319.24000000,3321.69000000,3419.14400000,1642199399999,11373209.28509700,8788,1550.52650000,5156842.12901800
1642199400000,3321.69000000,3327.71000000,3313.22000000,3313.49000000,3399.91950000,1642201199999,11289293.61586000,6805,1274.55180000,4232042.42292400
1642201200000,3313.49000000,3318.70000000,3297.40000000,3301.41000000,4357.20150000,1642202999999,14422130.84961800,9364,2090.68390000,6919333.60401700
1642203000000,3301.41000000,3312.35000000,3293.13000000,3307.42000000,3279.06130000,1642204799999,10834076.77548500,7402,1334.78470000,4407373.28389900
1642204800000,3307.42000000,3325.68000000,3307.22000000,3312.08000000,4962.39660000,1642206599999,16449908.40857300,10138,2664.37600000,8831660.54003700
1642206600000,3312.03000000,3317.96000000,3302.00000000,3314.44000000,3282.20870000,1642208399999,10865126.23885200,6982,1726.15920000,5714269.41741100
1642208400000,3314.45000000,3318.20000000,3306.44000000,3308.93000000,2479.46710000,1642210199999,8211690.29854200,5433,1155.33610000,3826651.00136700
1642210200000,3308.92000000,3311.24000000,3295.14000000,3302.76000000,3060.91710000,1642211999999,10106743.75686100,6470,1402.52560000,4630042.95928700
1642212000000,3302.76000000,3314.27000000,3296.96000000,3311.55000000,2886.42170000,1642213799999,9546712.03773600,6612,1269.68320000,4199532.56087600
