Open time,Open price,High price,Low price,Close price,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1663819200000,3.68900000,3.72300000,3.68900000,3.71000000,139269.30000000,1663820999999,517164.12450000,1468,68895.70000000,255803.07260000
1663821000000,3.71000000,3.72300000,3.70800000,3.72000000,135370.30000000,1663822799999,503044.18640000,1044,60785.60000000,226023.53190000
1663822800000,3.72000000,3.72300000,3.69800000,3.69900000,129323.90000000,1663824599999,480089.07010000,1029,60880.20000000,226104.92120000
1663824600000,3.70100000,3.72700000,3.70000000,3.71400000,110593.50000000,1663826399999,411057.31310000,1078,47553.10000000,176740.36770000
1663826400000,3.71300000,3.74900000,3.71300000,3.74600000,151618.30000000,1663828199999,566688.05260000,1351,79533.90000000,297342.49090000
1663828200000,3.74600000,3.74600000,3.72000000,3.73400000,253318.40000000,1663829999999,945154.72820000,1844,128581.30000000,479630.66450000
1663830000000,3.73300000,3.76500000,3.72700000,3.76300000,131194.80000000,1663831799999,491605.10990000,1373,68945.70000000,258494.59870000
1663831800000,3.76200000,3.81000000,3.75800000,3.80500000,248395.70000000,1663833599999,941290.11070000,2113,143993.50000000,545471.93130000
1663833600000,3.80400000,3.83900000,3.79700000,3.83900000,312927.10000000,1663835399999,1193333.43580000,2625,155263.10000000,592616.26030000
1663835400000,3.83900000,3.87400000,3.83900000,3.85800000,327129.90000000,1663837199999,1261186.28590000,3036,172737.30000000,665960.29270000
1663837200000,3.85800000,3.87100000,3.82800000,3.85300000,220547.00000000,1663838999999,849379.75290000,1975,95384.60000000,367374.55680000
1663839000000,3.85300000,3.86600000,3.84800000,3.86100000,115957.20000000,1663840799999,447257.73260000,1084,48975.90000000,188918.77940000
1663840800000,3.86100000,3.87000000,3.84700000,3.86200000,172130.70000000,1663842599999,664330.58670000,1107,100074.50000000,386305.98470000
1663842600000,3.86300000,3.86900000,3.85200000,3.85900000,149601.70000000,1663844399999,577339.00320000,1181,56286.50000000,217231.69080000
1663844400000,3.85800000,3.86300000,3.84100000,3.84400000,172301.50000000,1663846199999,663635.64480000,1544,94895.30000000,365510.84770000
